,car_name,brand,model,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price
8821,Datsun GO,Datsun,GO,5,70000,Individual,Petrol,Manual,20.63,1198,67,5,180000
8822,Maruti Baleno,Maruti,Baleno,1,25000,Individual,Petrol,Manual,21.01,1197,81.8,5,700000
8823,Maruti Ertiga,Maruti,Ertiga,5,21600,Dealer,Petrol,Manual,17.5,1373,91.1,7,725000
8824,Maruti Swift Dzire,Maruti,Swift Dzire,9,60000,Individual,Petrol,Manual,17.5,1298,85.8,5,350000
8826,Honda City,Honda,City,7,63339,Dealer,Diesel,Manual,26,1498,98.6,5,675000
8829,Mercedes-Benz GL-Class,Mercedes-Benz,GL-Class,6,115000,Dealer,Diesel,Automatic,11.3,2987,254.8,7,3700000
8830,Datsun RediGO,Datsun,RediGO,5,18000,Dealer,Petrol,Manual,22.7,799,53.64,5,285000
8832,Maruti Swift Dzire,Maruti,Swift Dzire,8,41170,Dealer,Petrol,Manual,19.1,1197,85.8,5,380000
8833,Honda WR-V,Honda,WR-V,3,15799,Dealer,Petrol,Manual,17.5,1199,88.7,5,749000
8834,Mercedes-Benz C-Class,Mercedes-Benz,C-Class,8,59000,Dealer,Diesel,Automatic,14.84,2143,170,5,1280000
8836,Maruti Swift,Maruti,Swift,6,45000,Dealer,Diesel,Manual,28.4,1248,74,5,475000
8837,Maruti Swift Dzire,Maruti,Swift Dzire,3,40000,Dealer,Petrol,Manual,21.21,1197,81.8,5,600000
8838,Skoda Octavia,Skoda,Octavia,4,31001,Dealer,Diesel,Automatic,19.5,1968,141,5,1399000
8839,Maruti Wagon R,Maruti,Wagon R,5,21517,Dealer,Petrol,Manual,18.9,998,67.1,5,315000
8841,Maruti Swift Dzire,Maruti,Swift Dzire,8,50000,Dealer,Petrol,Manual,19.1,1197,85.8,5,375000
8843,Hyundai Creta,Hyundai,Creta,3,10000,Individual,Petrol,Manual,15.29,1591,121.3,5,1235000
8844,Honda Amaze,Honda,Amaze,5,44340,Dealer,Diesel,Manual,25.8,1498,98.6,5,715000
8845,Ford Ecosport,Ford,Ecosport,6,36497,Dealer,Diesel,Manual,21.7,1498,98.96,5,550000
8846,Ford Figo,Ford,Figo,10,90000,Individual,Diesel,Manual,20,1399,68,5,230000
8848,Maruti Swift Dzire,Maruti,Swift Dzire,11,46100,Individual,Petrol,Automatic,21.21,1197,81.8,5,280000
8849,Maruti Ciaz,Maruti,Ciaz,4,35700,Dealer,Diesel,Manual,28.09,1248,88.5,5,650000
8850,Maruti Swift Dzire,Maruti,Swift Dzire,3,35000,Individual,Petrol,Manual,21.21,1197,81.8,5,550000
8852,Maruti Ertiga,Maruti,Ertiga,7,119000,Dealer,Diesel,Manual,20.77,1248,88.8,7,700000
8853,Ford Endeavour,Ford,Endeavour,11,80000,Individual,Diesel,Automatic,11.4,2953,153.86,7,750000
8854,Maruti Wagon R,Maruti,Wagon R,12,48192,Dealer,Petrol,Manual,18.9,1061,67,5,200000
8855,Ford Ecosport,Ford,Ecosport,3,53000,Individual,Diesel,Manual,23,1498,98.96,5,1100000
8856,Maruti Swift Dzire,Maruti,Swift Dzire,6,120000,Individual,Diesel,Manual,26.59,1248,74,5,500000
8858,Honda City,Honda,City,7,80000,Individual,Diesel,Manual,25.1,1498,98.6,5,575000
8859,Renault Duster,Renault,Duster,9,50000,Individual,Diesel,Manual,19.01,1461,108.45,5,375000
8860,Maruti Alto,Maruti,Alto,4,15554,Dealer,Petrol,Manual,22.05,796,47.3,5,310000
8861,Maruti Swift,Maruti,Swift,5,86448,Dealer,Diesel,Manual,28.4,1248,74,5,525000
8862,Maruti Swift,Maruti,Swift,11,87000,Individual,Diesel,Manual,17.8,1248,75,5,205000
8863,Mahindra XUV500,Mahindra,XUV500,6,110000,Individual,Diesel,Manual,15.1,2179,140,7,850000
8864,Maruti Swift Dzire,Maruti,Swift Dzire,6,60000,Individual,Diesel,Manual,26.59,1248,74,5,500000
8865,Hyundai Verna,Hyundai,Verna,4,23211,Dealer,Diesel,Manual,23.9,1582,126.2,5,825000
8867,Honda Amaze,Honda,Amaze,2,16000,Individual,Petrol,Manual,19.5,1199,88.76,5,725000
8868,Honda City,Honda,City,4,80000,Individual,Diesel,Manual,26,1498,98.6,5,750000
8869,Mahindra KUV,Mahindra,KUV,5,30000,Dealer,Diesel,Manual,25.32,1198,77,6,580000
8870,Maruti Wagon R,Maruti,Wagon R,10,57000,Dealer,CNG,Manual,26.2,998,58.2,5,220000
8872,Honda City,Honda,City,7,233000,Individual,Diesel,Manual,25.1,1498,98.6,5,500000
8873,Honda City,Honda,City,9,29512,Dealer,Petrol,Manual,16.8,1497,116.3,5,380000
8874,Maruti Swift Dzire,Maruti,Swift Dzire,7,100000,Individual,Diesel,Manual,23.4,1248,74,5,450000
8875,Hyundai Grand,Hyundai,Grand,6,39000,Dealer,Petrol,Manual,18.9,1197,82,5,410000
8876,Volkswagen Vento,Volkswagen,Vento,11,41000,Dealer,Diesel,Manual,20.54,1598,103.6,5,285000
8877,Maruti Alto,Maruti,Alto,6,42000,Dealer,Petrol,Manual,23.95,998,67.05,5,285000
8878,Ford Ecosport,Ford,Ecosport,5,50000,Dealer,Diesel,Manual,21.7,1498,98.96,5,650000
8879,Honda Jazz,Honda,Jazz,11,42000,Dealer,Petrol,Manual,16,1198,90,5,280000
8881,Hyundai i10,Hyundai,i10,9,80000,Individual,Petrol,Manual,19.81,1086,68.05,5,210000
8883,Maruti Wagon R,Maruti,Wagon R,6,60000,Individual,Petrol,Manual,20.51,998,67.04,5,310000
8884,Skoda Superb,Skoda,Superb,11,50000,Individual,Petrol,Automatic,12.6,1798,161.6,5,375000
8885,Hyundai Verna,Hyundai,Verna,6,30337,Dealer,Petrol,Manual,17.1,1591,121.3,5,569000
8887,Hyundai i20,Hyundai,i20,3,39000,Dealer,Diesel,Manual,22.54,1396,88.73,5,625000
8888,Hyundai Santro,Hyundai,Santro,14,40000,Individual,Petrol,Manual,17.92,1086,62.1,5,95000
8891,Maruti Vitara,Maruti,Vitara,4,40000,Individual,Diesel,Manual,24.3,1248,88.5,5,810000
8893,Toyota Innova,Toyota,Innova,3,40000,Dealer,Diesel,Manual,13.68,2393,147.51,7,1875000
8894,Honda Jazz,Honda,Jazz,5,19000,Dealer,Diesel,Manual,27.3,1498,98.6,5,490000
8895,Maruti Vitara,Maruti,Vitara,5,75000,Individual,Diesel,Manual,24.3,1248,88.5,5,825000
8896,Hyundai Verna,Hyundai,Verna,5,48000,Dealer,Diesel,Manual,23.9,1582,126.2,5,650000
8897,Tata Tiago,Tata,Tiago,3,40000,Individual,Diesel,Manual,27.28,1047,69,5,350000
8898,Maruti Ciaz,Maruti,Ciaz,6,103000,Individual,Diesel,Manual,28.09,1248,88.5,5,530000
8899,Honda WR-V,Honda,WR-V,3,15797,Dealer,Diesel,Manual,25.5,1498,98.6,5,825000
8900,Ford Ecosport,Ford,Ecosport,4,115000,Dealer,Diesel,Manual,23,1498,98.96,5,650000
8903,Tata Safari,Tata,Safari,2,30000,Individual,Diesel,Manual,14.1,2179,153.86,7,1270000
8904,Maruti Vitara,Maruti,Vitara,3,31000,Dealer,Diesel,Automatic,24.3,1248,88.5,5,849000
8905,Honda Amaze,Honda,Amaze,8,47277,Dealer,Diesel,Manual,25.8,1498,98.6,5,399000
8906,Maruti Ciaz,Maruti,Ciaz,5,28963,Dealer,Diesel,Manual,28.09,1248,88.5,5,600000
8907,Maruti Swift Dzire,Maruti,Swift Dzire,4,31000,Dealer,Petrol,Manual,20.85,1197,83.14,5,650000
8908,Maruti Wagon R,Maruti,Wagon R,16,29957,Dealer,Petrol,Manual,18.9,998,67.1,5,150000
8909,Maruti Ertiga,Maruti,Ertiga,5,44160,Dealer,Diesel,Manual,24.52,1248,88.5,7,670000
8911,Maruti Swift Dzire,Maruti,Swift Dzire,9,55000,Dealer,Diesel,Manual,19.3,1248,73.9,5,325000
8912,Honda Jazz,Honda,Jazz,6,51000,Individual,Petrol,Automatic,19,1199,88.7,5,560000
8913,Maruti Swift Dzire,Maruti,Swift Dzire,5,23211,Dealer,Petrol,Manual,20.85,1197,83.14,5,535000
8914,Volkswagen Polo,Volkswagen,Polo,6,23569,Dealer,Petrol,Manual,16.2,1199,74,5,425000
8915,Ford Ecosport,Ford,Ecosport,7,95000,Dealer,Diesel,Manual,22.7,1498,89.84,5,425000
8916,Renault KWID,Renault,KWID,4,15000,Individual,Petrol,Manual,23.01,999,67,5,350000
8917,Hyundai Grand,Hyundai,Grand,5,37902,Dealer,Petrol,Manual,18.9,1197,82,5,450000
8920,Maruti Ertiga,Maruti,Ertiga,9,90000,Individual,Diesel,Manual,20.77,1248,88.8,7,520000
8921,Mahindra Scorpio,Mahindra,Scorpio,12,120000,Individual,Diesel,Manual,12.05,2179,120,7,400000
8922,Maruti Wagon R,Maruti,Wagon R,6,69000,Dealer,CNG,Manual,33.54,998,67.04,5,350000
8923,Hyundai i10,Hyundai,i10,10,58519,Dealer,Petrol,Manual,19.81,1086,68.05,5,260000
8925,Hyundai Creta,Hyundai,Creta,6,65000,Dealer,Diesel,Manual,19.67,1582,126.2,5,849000
8926,Mahindra XUV500,Mahindra,XUV500,6,59706,Dealer,Diesel,Manual,15.1,2179,140,7,875000
8928,Hyundai i20,Hyundai,i20,5,50000,Dealer,Diesel,Manual,21.19,1396,88.73,5,550000
8930,Ford Freestyle,Ford,Freestyle,3,30000,Individual,Petrol,Manual,19,1194,94.68,5,630000
8932,Audi A4,Audi,A4,4,40000,Individual,Petrol,Automatic,17.84,1395,147.51,5,3100000
8934,Ford Ecosport,Ford,Ecosport,4,11448,Individual,Petrol,Manual,17,1497,121.36,5,700000
8935,Honda WR-V,Honda,WR-V,4,31031,Dealer,Diesel,Manual,25.5,1498,98.6,5,725000
8936,Hyundai Grand,Hyundai,Grand,4,40813,Dealer,Petrol,Manual,18.9,1197,81.86,5,450000
8937,Maruti Wagon R,Maruti,Wagon R,9,37300,Dealer,Petrol,Manual,18.9,998,67.1,5,275000
8938,Volkswagen Polo,Volkswagen,Polo,6,47000,Individual,Diesel,Manual,20.14,1498,88.8,5,450000
8940,Honda City,Honda,City,13,46252,Dealer,Petrol,Manual,17.7,1497,78,5,225000
8941,Hyundai Grand,Hyundai,Grand,2,35000,Individual,Diesel,Manual,24,1186,73.97,5,575000
8944,Maruti Alto,Maruti,Alto,3,5000,Individual,Petrol,Manual,24.7,796,47.3,5,300000
8945,Maruti Swift Dzire,Maruti,Swift Dzire,7,33000,Dealer,Petrol,Manual,19.1,1197,85.8,5,395000
8946,Hyundai i20,Hyundai,i20,5,52000,Dealer,Diesel,Manual,22.54,1396,88.73,5,625000
8948,Honda City,Honda,City,9,55000,Dealer,Petrol,Manual,16.8,1497,116.3,5,379000
8949,Maruti Swift,Maruti,Swift,9,76000,Dealer,Diesel,Manual,22.9,1248,74,5,425000
8950,Maruti Swift Dzire,Maruti,Swift Dzire,8,90000,Individual,Diesel,Manual,23.4,1248,74,5,370000
8951,Ford Aspire,Ford,Aspire,4,25000,Individual,Diesel,Manual,25.83,1498,99,5,615000
8952,Maruti Swift Dzire,Maruti,Swift Dzire,9,60000,Dealer,Diesel,Manual,19.3,1248,73.9,5,370000
8953,BMW X3,BMW,X3,8,37000,Dealer,Diesel,Automatic,16.09,1995,184,5,2375000
8956,Maruti Swift,Maruti,Swift,3,34000,Dealer,Diesel,Automatic,28.4,1248,74,5,725000
8957,Maruti Eeco,Maruti,Eeco,8,18000,Individual,Petrol,Manual,15.37,1196,73,7,225000
8958,Hyundai i10,Hyundai,i10,11,60000,Individual,Petrol,Manual,20.36,1197,78.9,5,190000
8960,Hyundai i20,Hyundai,i20,5,64000,Individual,Diesel,Manual,22.54,1396,88.73,5,535000
8962,Ford Aspire,Ford,Aspire,3,57350,Individual,Diesel,Manual,25.83,1498,99,5,659000
8963,Hyundai i10,Hyundai,i10,9,46100,Dealer,Petrol,Manual,20.36,1197,78.9,5,270000
8964,BMW X5,BMW,X5,5,85000,Individual,Diesel,Automatic,15.97,2993,258,5,3600000
8965,Maruti Swift Dzire,Maruti,Swift Dzire,6,25000,Individual,Petrol,Manual,20.85,1197,83.14,5,460000
8967,Hyundai Grand,Hyundai,Grand,6,30000,Individual,Diesel,Manual,24,1120,70,5,335000
8968,Maruti Alto,Maruti,Alto,9,21000,Individual,Petrol,Manual,19.7,796,46.3,5,140000
8969,Maruti Alto,Maruti,Alto,2,30000,Individual,Petrol,Manual,23.95,998,67.05,5,350000
8970,Maruti Alto,Maruti,Alto,3,25000,Individual,Petrol,Manual,24.7,796,47.3,5,255000
8971,Maruti Ertiga,Maruti,Ertiga,5,42000,Dealer,Diesel,Manual,24.52,1248,88.5,7,699000
8974,Maruti Wagon R,Maruti,Wagon R,10,120000,Individual,Petrol,Manual,18.9,998,67.1,5,192000
8975,Ford Figo,Ford,Figo,7,61000,Dealer,Diesel,Manual,20,1399,68.05,5,420000
8976,Tata Nexon,Tata,Nexon,2,17000,Individual,Diesel,Manual,21.5,1497,108.5,5,715000
8977,Maruti Wagon R,Maruti,Wagon R,15,64000,Dealer,Petrol,Manual,21.79,998,67.05,5,120000
8978,Hyundai Creta,Hyundai,Creta,1,1500,Individual,Petrol,Manual,15.8,1591,121.3,5,955000
8979,Hyundai Creta,Hyundai,Creta,2,15000,Individual,Petrol,Manual,15.8,1591,121.3,5,1200000
8980,Maruti Swift,Maruti,Swift,13,60000,Individual,Petrol,Manual,16.1,1298,88.2,5,190000
8981,Maruti Ertiga,Maruti,Ertiga,2,40000,Individual,Diesel,Manual,24.2,1498,93.87,7,950000
8982,Datsun RediGO,Datsun,RediGO,4,21696,Dealer,Petrol,Manual,22.7,799,53.64,5,290000
8984,Hyundai Santro,Hyundai,Santro,13,25000,Individual,Petrol,Manual,17.92,1086,62.1,5,119000
8985,Hyundai Elantra,Hyundai,Elantra,8,67000,Dealer,Diesel,Manual,14.59,1493,113.42,5,575000
8987,Hyundai Creta,Hyundai,Creta,3,40000,Dealer,Diesel,Manual,20.5,1582,126.2,5,1295000
8988,Toyota Innova,Toyota,Innova,6,57900,Dealer,Diesel,Manual,12.99,2494,100,7,900000
8989,Hyundai i20,Hyundai,i20,9,70000,Individual,Petrol,Manual,17,1197,80,5,300000
8990,Hyundai Creta,Hyundai,Creta,4,58000,Dealer,Petrol,Manual,13,1591,121.3,5,1175000
8991,Maruti Swift,Maruti,Swift,9,66100,Dealer,Diesel,Manual,22.9,1248,74,5,275000
8992,Toyota Innova,Toyota,Innova,15,179000,Dealer,Diesel,Manual,12.8,2494,102,8,590000
8996,Ford Aspire,Ford,Aspire,5,55000,Individual,Petrol,Manual,18.16,1196,86.8,5,460000
8998,Hyundai Verna,Hyundai,Verna,8,90000,Dealer,Diesel,Manual,22.32,1582,126.3,5,530000
8999,Hyundai i20,Hyundai,i20,4,41394,Dealer,Petrol,Manual,17,1197,80,5,640000
9000,Maruti Celerio,Maruti,Celerio,7,27027,Dealer,Petrol,Manual,23.1,998,67.04,5,370000
9002,Volkswagen Polo,Volkswagen,Polo,8,58000,Dealer,Diesel,Manual,22.07,1199,73.9,5,460000
9004,Maruti Alto,Maruti,Alto,9,76154,Dealer,Petrol,Manual,19.7,796,46.3,5,275000
9005,Tata Safari,Tata,Safari,7,75875,Dealer,Diesel,Manual,14,2179,138.1,7,525000
9006,Maruti Wagon R,Maruti,Wagon R,15,120000,Individual,Petrol,Manual,18.9,998,67.1,5,80000
9009,Mahindra KUV,Mahindra,KUV,3,5000,Dealer,Petrol,Manual,18.15,1198,82,6,419000
9010,Hyundai Verna,Hyundai,Verna,11,50111,Dealer,Diesel,Manual,16.2,1493,110,5,199000
9011,Hyundai i10,Hyundai,i10,9,60000,Individual,Petrol,Manual,20.36,1197,78.9,5,300000
9012,Maruti Swift Dzire,Maruti,Swift Dzire,6,49000,Dealer,Diesel,Manual,26.59,1248,74,5,470000
9013,Renault KWID,Renault,KWID,3,10000,Individual,Petrol,Manual,23.01,999,67,5,380000
9014,Maruti Alto,Maruti,Alto,6,22000,Individual,Petrol,Manual,22.74,796,47.3,5,249000
9015,Toyota Yaris,Toyota,Yaris,2,30000,Individual,Petrol,Automatic,17.8,1496,105.5,5,950000
9016,Honda City,Honda,City,12,57720,Dealer,Petrol,Manual,17,1497,118,5,280000
9018,Hyundai i20,Hyundai,i20,2,30000,Individual,Petrol,Manual,18.6,1197,81.86,5,635000
9019,Tata Tiago,Tata,Tiago,4,10000,Individual,Petrol,Manual,23.84,1199,84,5,425000
9020,Maruti Swift Dzire,Maruti,Swift Dzire,5,40000,Individual,Petrol,Manual,20.85,1197,83.14,5,500000
9024,Hyundai Santro,Hyundai,Santro,13,74000,Dealer,Petrol,Manual,17.92,1086,62.1,5,150000
9025,Ford Ecosport,Ford,Ecosport,6,90000,Individual,Diesel,Manual,22.77,1498,98.59,5,565000
9026,Maruti Swift Dzire,Maruti,Swift Dzire,5,70000,Individual,Diesel,Manual,26.59,1248,74,5,570000
9027,Hyundai i10,Hyundai,i10,12,57000,Individual,Petrol,Manual,19.81,1086,68.05,5,180000
9029,Maruti Ciaz,Maruti,Ciaz,4,62320,Dealer,Diesel,Manual,28.09,1248,88.5,5,675000
9030,Maruti Alto,Maruti,Alto,6,45000,Dealer,Petrol,Manual,24.7,796,47.3,5,265000
9031,Tata Hexa,Tata,Hexa,4,57000,Individual,Diesel,Manual,17.6,2179,153.86,7,1200000
9032,Maruti Baleno,Maruti,Baleno,4,80000,Individual,Diesel,Manual,27.39,1248,74,5,520000
9035,Hyundai Verna,Hyundai,Verna,10,46541,Dealer,Petrol,Manual,17.43,1396,105.5,5,169000
9036,Hyundai i10,Hyundai,i10,9,56468,Dealer,Petrol,Manual,20.36,1197,78.9,5,268000
9037,BMW 3,BMW,3,5,12000,Dealer,Diesel,Automatic,13.2,1995,170,5,2300000
9038,Volkswagen Polo,Volkswagen,Polo,5,34000,Dealer,Petrol,Automatic,17.21,1197,103.5,5,650000
9039,Honda Amaze,Honda,Amaze,2,2000,Individual,Petrol,Manual,19.5,1199,88.76,5,650000
9040,Hyundai i10,Hyundai,i10,6,15000,Individual,LPG,Manual,19.2,1086,68.05,5,420000
9041,Toyota Innova,Toyota,Innova,5,66240,Dealer,Diesel,Manual,13.68,2393,147.8,7,1675000
9042,Maruti Swift Dzire,Maruti,Swift Dzire,10,80000,Individual,Petrol,Manual,17.5,1197,85.8,5,221000
9043,Hyundai Santro,Hyundai,Santro,12,70521,Dealer,LPG,Manual,13.45,1086,62.1,5,175000
9044,Honda City,Honda,City,5,55000,Dealer,Petrol,Manual,17.8,1497,117.3,5,624000
9045,Maruti Baleno,Maruti,Baleno,2,10000,Dealer,Petrol,Automatic,21.4,1197,83.1,5,850000
9047,Hyundai i20,Hyundai,i20,11,50000,Individual,Petrol,Manual,18.5,1197,80,5,245000
9048,Honda Amaze,Honda,Amaze,5,103000,Dealer,Diesel,Manual,25.8,1498,98.6,5,525000
9050,Hyundai i20,Hyundai,i20,3,40000,Individual,Diesel,Manual,21.19,1396,88.76,5,630000
9052,Hyundai Creta,Hyundai,Creta,6,90000,Individual,Diesel,Manual,21.38,1396,88.7,5,750000
9053,Mahindra XUV500,Mahindra,XUV500,8,80000,Individual,Diesel,Manual,15.1,2179,140,7,700000
9054,Maruti Alto,Maruti,Alto,4,28000,Dealer,Petrol,Manual,24.7,796,47.3,5,340000
9055,Ford Figo,Ford,Figo,4,83000,Dealer,Diesel,Manual,24.4,1499,98.96,5,650000
9056,Mahindra XUV500,Mahindra,XUV500,5,80000,Individual,Diesel,Manual,16,2179,140,7,1090000
9057,Mahindra KUV,Mahindra,KUV,5,32000,Individual,Petrol,Manual,18.15,1198,82,6,385000
9059,Toyota Innova,Toyota,Innova,11,43221,Dealer,Diesel,Manual,12.99,2494,100.6,7,840000
9060,Hyundai Creta,Hyundai,Creta,5,16000,Dealer,Diesel,Manual,19.67,1582,126.2,5,851000
9061,Maruti Swift,Maruti,Swift,9,106600,Individual,Petrol,Manual,18.6,1197,85.8,5,300000
9062,Maruti Swift,Maruti,Swift,6,89000,Dealer,Diesel,Manual,25.2,1248,74,5,565000
9063,Hyundai Grand,Hyundai,Grand,3,7245,Dealer,Petrol,Manual,18.9,1197,81.86,5,425000
9064,Datsun GO,Datsun,GO,3,9600,Individual,Petrol,Manual,19.83,1198,67,7,650000
9065,Mahindra XUV500,Mahindra,XUV500,2,5000,Individual,Diesel,Manual,15.1,2179,152.87,7,1550000
9067,Maruti Alto,Maruti,Alto,5,29289,Dealer,Petrol,Manual,22.74,796,47.3,5,239000
9069,Maruti Swift Dzire,Maruti,Swift Dzire,2,27000,Individual,Petrol,Manual,22,1197,81.8,5,550000
9070,Toyota Innova,Toyota,Innova,11,77000,Individual,Diesel,Manual,12.8,2494,102,8,520000
9071,BMW 3,BMW,3,8,38132,Dealer,Diesel,Automatic,18.88,1995,184,5,1399000
9072,Hyundai Grand,Hyundai,Grand,12,59000,Dealer,Diesel,Manual,24,1120,70,5,210000
9073,Hyundai Santro,Hyundai,Santro,2,20000,Individual,Petrol,Manual,20.3,1086,68,5,480000
9074,Datsun RediGO,Datsun,RediGO,3,50000,Individual,Petrol,Manual,22.7,799,53.64,5,250000
9075,Maruti Swift Dzire,Maruti,Swift Dzire,8,145495,Individual,Diesel,Manual,23.4,1248,74,5,550000
9076,Hyundai Grand,Hyundai,Grand,2,36000,Dealer,Petrol,Manual,18.9,1197,81.86,5,525000
9078,Volkswagen Polo,Volkswagen,Polo,2,12600,Dealer,Petrol,Manual,16.2,1199,74,5,625000
9079,Maruti Swift Dzire,Maruti,Swift Dzire,6,120000,Individual,Diesel,Manual,26.59,1248,74,5,450000
9080,Maruti Swift,Maruti,Swift,5,130130,Dealer,Diesel,Manual,25.2,1248,74,5,400000
9081,Renault Duster,Renault,Duster,8,120000,Individual,Diesel,Manual,20.45,1461,83.8,5,340000
9083,Datsun RediGO,Datsun,RediGO,4,9500,Individual,Petrol,Manual,22.7,799,53,5,300000
9084,Maruti Swift Dzire,Maruti,Swift Dzire,4,70000,Individual,Diesel,Manual,26.59,1248,74,5,590000
9085,Tata Safari,Tata,Safari,6,120000,Individual,Diesel,Manual,14,2179,138.1,7,620000
9086,Maruti Eeco,Maruti,Eeco,1,8001,Dealer,Petrol,Manual,15.37,1196,73,5,425000
9089,Maruti Ertiga,Maruti,Ertiga,7,79000,Dealer,Diesel,Manual,20.77,1248,88.8,7,610000
9090,Mahindra XUV500,Mahindra,XUV500,6,60000,Individual,Diesel,Manual,15.1,2179,140,7,660000
9092,Maruti Swift,Maruti,Swift,4,48148,Dealer,Petrol,Manual,18.6,1197,85.8,5,520000
9094,Maruti Wagon R,Maruti,Wagon R,11,25000,Individual,Petrol,Manual,18.9,998,67.1,5,190000
9095,Honda Amaze,Honda,Amaze,5,41200,Dealer,Petrol,Manual,18.6,1199,88.76,5,349000
9097,Maruti Eeco,Maruti,Eeco,5,5000,Individual,Petrol,Manual,15.37,1196,73,5,308000
9098,Honda City,Honda,City,5,34000,Dealer,Diesel,Manual,25.1,1498,98.6,5,629000
9099,Maruti Swift Dzire,Maruti,Swift Dzire,6,57000,Dealer,Diesel,Manual,26.59,1248,74,5,525000
9102,Maruti Ciaz,Maruti,Ciaz,4,34000,Dealer,Petrol,Manual,20.73,1373,91.1,5,795000
9103,Hyundai i20,Hyundai,i20,7,72536,Dealer,Petrol,Manual,17,1197,80,5,480000
9104,Maruti Ciaz,Maruti,Ciaz,6,15000,Individual,Petrol,Manual,20.73,1373,91.1,5,610000
9105,Maruti Swift Dzire,Maruti,Swift Dzire,6,30000,Individual,Petrol,Manual,20.85,1197,83.14,5,420000
9106,Volkswagen Vento,Volkswagen,Vento,8,44000,Dealer,Diesel,Manual,20.54,1598,103.6,5,365000
9107,Toyota Innova,Toyota,Innova,3,70000,Individual,Diesel,Manual,13.68,2393,147.8,7,1850000
9109,Hyundai Creta,Hyundai,Creta,5,24000,Dealer,Petrol,Manual,15.29,1591,121.3,5,750000
9110,Maruti Ertiga,Maruti,Ertiga,9,90000,Individual,Diesel,Manual,20.77,1248,88.76,7,350000
9111,Hyundai i10,Hyundai,i10,9,38452,Dealer,Petrol,Manual,20.36,1197,78.9,5,219000
9113,Hyundai i20,Hyundai,i20,8,34000,Dealer,Diesel,Manual,21.9,1396,88.76,5,325000
9114,Maruti Swift,Maruti,Swift,9,66001,Dealer,Diesel,Manual,22.9,1248,74,5,275000
9117,Maruti Wagon R,Maruti,Wagon R,13,28640,Individual,Petrol,Manual,18.9,998,67.1,5,166000
9118,Toyota Innova,Toyota,Innova,14,175000,Dealer,Diesel,Manual,12.8,2494,102,8,600000
9119,Mahindra Bolero,Mahindra,Bolero,3,30000,Individual,Diesel,Manual,16.5,1493,70,7,750000
9121,Maruti Baleno,Maruti,Baleno,5,50000,Individual,Petrol,Manual,21.4,1197,83.1,5,575000
9123,Ford Ecosport,Ford,Ecosport,3,36000,Dealer,Diesel,Manual,23,1498,98.96,5,825000
9124,BMW X1,BMW,X1,4,40100,Dealer,Diesel,Automatic,20.68,1995,188,5,2499000
9125,Hyundai i20,Hyundai,i20,10,66692,Dealer,Petrol,Manual,17,1197,80,5,310000
9126,Maruti Alto,Maruti,Alto,5,8230,Dealer,Petrol,Manual,20.92,998,67.1,5,270000
9127,Renault KWID,Renault,KWID,5,35000,Individual,Petrol,Manual,25.17,799,53.3,5,244000
9128,Maruti Swift Dzire,Maruti,Swift Dzire,7,120000,Individual,Diesel,Manual,23.4,1248,74,5,440000
9130,Hyundai Creta,Hyundai,Creta,6,66500,Dealer,Diesel,Manual,19.67,1582,126.2,5,750000
9133,Ford Freestyle,Ford,Freestyle,3,30000,Individual,Petrol,Manual,19,1194,94.68,5,630000
9135,Maruti Alto,Maruti,Alto,4,7000,Individual,Petrol,Manual,23.95,998,67.05,5,300000
9136,Maruti Wagon R,Maruti,Wagon R,9,60000,Individual,CNG,Manual,26.2,998,58.2,5,215000
9137,Maruti Swift Dzire,Maruti,Swift Dzire,9,25000,Individual,Petrol,Manual,19.1,1197,85.8,5,540000
9138,Mahindra XUV300,Mahindra,XUV300,1,2000,Individual,Diesel,Manual,20,1497,115,5,800000
9139,Maruti Swift Dzire,Maruti,Swift Dzire,8,58000,Individual,Diesel,Manual,23.4,1248,74,5,420000
9142,Maruti Celerio,Maruti,Celerio,4,38963,Dealer,Petrol,Manual,21.63,998,67.04,5,425000
9144,Datsun GO,Datsun,GO,6,30000,Individual,Petrol,Manual,20.63,1198,67,5,276000
9145,Ford Freestyle,Ford,Freestyle,3,63001,Dealer,Diesel,Manual,23.8,1499,98.97,5,600000
9147,BMW X1,BMW,X1,4,40000,Dealer,Diesel,Automatic,19.62,1998,192,5,2499000
9148,Maruti Swift,Maruti,Swift,7,57351,Dealer,Diesel,Manual,22.9,1248,74,5,450000
9150,Skoda Superb,Skoda,Superb,8,69000,Dealer,Diesel,Automatic,17.2,1968,138.1,5,649000
9151,Toyota Fortuner,Toyota,Fortuner,6,132000,Dealer,Diesel,Manual,12.55,2982,168.5,7,1600000
9152,Maruti Wagon R,Maruti,Wagon R,3,9450,Dealer,Petrol,Automatic,20.51,998,67,5,412000
9153,Mahindra Scorpio,Mahindra,Scorpio,5,20000,Individual,Diesel,Manual,15.4,1997,120,7,879000
9154,Maruti Swift Dzire,Maruti,Swift Dzire,5,78051,Dealer,Petrol,Manual,20.85,1197,83.14,5,625000
9155,Hyundai Creta,Hyundai,Creta,2,19000,Dealer,Petrol,Manual,13,1591,121.3,5,1075000
9156,Honda Amaze,Honda,Amaze,7,46000,Individual,Petrol,Manual,18,1198,86.7,5,480000
